Group,Tags,Selected,grams,ounces,Item,lb,oz,Notes,New
Clothing in Pack,,1,322,11.36,puffy,0,11.36,,0
Clothing in Pack,,1,108,3.81,gloves/mittens,0,3.81,,0
Clothing in Pack,,0,36,1.27,neck gaiter,0,1.27,,0
Clothing in Pack,,1,50,1.76,Liner socks,0,1.76,,0
Clothing in Pack,,1,165,5.82,Wool socks,0,5.82,,0
Clothing in Pack,,0,125,4.41,short sleeve shirt,0,4.41,,0
Clothing in Pack,,1,150,5.29,long sleeve shirt ,0,5.29,,0
Clothing in Pack,,0,250,8.82,long sleeve shirt heavy,0,8.82,,0
Clothing in Pack,,1,76,2.68,underwear,0,2.68,,0
Clothing in Pack,,1,135,4.76,shorts,0,4.76,,0
Clothing in Pack,,1,0,0,zip-offs,0,0,,0
Clothing in Pack,,0,0,0,Kilt,0,0,,0
Clothing in Pack,,0,0,0,thermal underwear,0,0,,0
Consumables,,1,0,0,Medication,0,0,,0
Consumables,,1,0,0,24-32 ounces food per day,0,0,,0
Consumables,,1,1786,64,64 ounces water,4,0,,0
Consumables,,0,0,0,2 ounce fuel per day,0,0,,0
Consumables,,0,0,0,Zip lock bags (1 quart) food,0,0,,0
Consumables,,0,0,0,Zip lock bags (1 gallon) food,0,0,,0
Consumables,,0,0,0,Zip lock bags (2 gallon) food,0,0,,0
Clothing Worn,,1,0,0,trekking poles,0,0,,0
Clothing Worn,,1,0,0,hiking boots,0,0,,0
Clothing Worn,,1,0,0,liner socks,0,0,,0
Clothing Worn,,1,0,0,wool socks,0,0,,0
Clothing Worn,,1,0,0,gators,0,0,,0
Clothing Worn,,1,0,0,tech shirt,0,0,,0
Clothing Worn,,1,0,0,underwear,0,0,,0
Clothing Worn,,1,0,0,Kilt / Zip-offs,0,0,,0
Clothing Worn,,1,0,0,runners cap,0,0,,0
Clothing Worn,,1,0,0,pocket knife,0,0,,0
Clothing Worn,,1,0,0,lip balm,0,0,,0
Clothing Worn,,1,0,0,phone (in zip-loc),0,0,,0
Clothing Worn,,1,0,0,license / money / credit card,0,0,,0
Clothing Worn,,1,0,0,bandana,0,0,,0
Clothing Worn,,1,0,0,belt,0,0,,0
Clothing Worn,,1,0,0,suspenders,0,0,,0
