Group,Tags,Selected,grams,ounces,Item,lb,oz,Notes,New
Pack,Pack,1,1290,45.5,Blue Pack,2,13.5,,0
Pack,,0,1175,41.45,Orange Pack #1,2,9.45,,0
Pack,,0,0,0,New Pack,0,0,,1
Pack,,0,0,0,Red Pack,0,0,,0
Pack,,0,0,0,Yellow Pack,0,0,,0
Pack,Pack,1,27,0.95,Pack hip pockets,0,0.95,,0
Pack,Pack,1,143,5.04,Pack Liner/Garbage bag,0,5.04,,0
Pack,,0,200,7.05,Green/Tan Pack Cover,0,7.05,,0
Pack,Pack,1,146,5.15,Orange Pack Cover,0,5.15,,0
Pack,,0,0,0,New Pack Cover x,0,0,,1
Shelter,,0,384,13.55,Hammock Olive,0,13.55,,0
Shelter,HammockB1,1,233,8.22,Bridge Hammock; 1.2 Hexon Olive,0,8.22,,0
Shelter,,0,0,0,Griz Arieal Hammock; 1.6ox Hexon,0,0,,1
Shelter,,0,0,0,New Hammock; 1.6oz Hexon,0,0,,1
Shelter,HammockB1,1,207,7.3,"Spreader Bars 28""",0,7.3,,0
Shelter,,0,226,7.97,"Spreader Bars 32""",0,7.97,,0
Shelter,,0,97,3.42,Tree straps black,0,3.42,,0
Shelter,HammockB1,1,82,2.89,Tree straps spider poly,0,2.89,RTB or DutchGear,0
Shelter,,0,40,1.41,Whoopie slings #1,0,1.41,,0
Shelter,HammockB1,1,40,1.41,UCR,0,1.41,,0
Shelter,,0,750,26.46,Tarp grey & lines,1,10.46,,0
Shelter,TarpLite,1,474,16.72,Tarp Forest green & lines,1,0.72,1.1oz polysil 8yds RBTR;  12.9 sq yds;1.1=14.2; 1.6=20.6,0
Shelter,TarpLite,1,80,2.82,stakes AL red,0,2.82,,0
Shelter,,0,115,4.06,stakes AL orange,0,4.06,,0
Shelter,Tent,0,126,4.44,stakes Ti,0,4.44,,0
Shelter,BugNet1,0,311,10.97,bug net original,0,10.97,,0
Shelter,BugNet1,0,0,0,bug net new,0,0,.67oz noseeum RBT; 4oz,1
Shelter,Tent,0,545,19.22,tent outside,1,3.22,,0
Shelter,Tent,0,305,10.76,tent inside,0,10.76,,0
Shelter,,1,71,2.5,Tyvek 4x3,0,2.5,,0
Shelter,Tent,0,119,4.2,Tyvek 8x3 footprint,0,4.2,,0
Shelter,,0,195,6.88,Tyvek 7.5' x 5' footprint,0,6.88,,0
Shelter,,0,0,0,plastic footprint,0,0,,0
Shelter,,1,39,1.38,Mylar blanket,0,1.38,,0
Sleeping,,0,1088,38.38,30° sleeping bag,2,6.38,,0
Sleeping,,1,1270,44.8,15° sleeping bag - Katahdin,2,12.8,,0
Sleeping,,0,1565,55.2,0° sleeping bag - Antero,3,7.2,,0
Sleeping,,0,1089,38.41,Fleece sleeping bag,2,6.41,,0
Sleeping,,1,176,6.21,sleeping bag liner blue,0,6.21,,0
Sleeping,,0,0,0,sleeping bag liner #2,0,0,Cocoon Silk MummyLiner 4oz,1
Sleeping,,0,86,3.03,pillow orange/gray,0,3.03,,0
Sleeping,,1,90,3.17,pillow black (Outdoor Vitals),0,3.17,,0
Sleeping,,0,711,25.08,Air matress Big Birtha,1,9.08,,0
Sleeping,Tent,0,488,17.21,Air matress blue,1,1.21,,0
Sleeping,,0,0,0,Top Quilt,0,0,,1
Sleeping,,1,898,31.68,Under Quilt,1,15.68,,0
Sleeping,,0,0,0,New Under Quilt,0,0,,1
